,Equip Local,Equip Visitant,Resultat,Competició,Jornada,Data,Gols Local,Gols Visitant,Resultat per FCB
426,FC Barcelona,Múrcia,5-0,Copa del Rei,6a ronda - Tornada,2017-11-29,5,0,Guanya
427,FC Barcelona,Celta,2-2,La Liga,Jornada 14,2017-12-02,2,2,Empata
428,FC Barcelona,Sporting CP,2-0,Lliga de Campions,Fase de grups - D,2017-12-05,2,0,Guanya
429,Vila-real,FC Barcelona,0-2,La Liga,Jornada 15,2017-12-10,0,2,Guanya
430,FC Barcelona,Deportivo,4-0,La Liga,Jornada 16,2017-12-17,4,0,Guanya
431,Reial Madrid,FC Barcelona,0-3,La Liga,Jornada 17,2017-12-23,0,3,Guanya
432,Celta,FC Barcelona,1-1,Copa del Rei,Vuitens - Anada,2018-01-04,1,1,Empata
433,FC Barcelona,Llevant,3-0,La Liga,Jornada 18,2018-01-07,3,0,Guanya
434,FC Barcelona,Celta,5-0,Copa del Rei,Vuitens - Tornada,2018-01-11,5,0,Guanya
435,R. Societat,FC Barcelona,2-4,La Liga,Jornada 19,2018-01-14,2,4,Guanya
436,Espanyol,FC Barcelona,1-0,Copa del Rei,Quarts - Anada,2018-01-17,1,0,Perd
437,Betis,FC Barcelona,0-5,La Liga,Jornada 20,2018-01-21,0,5,Guanya
438,FC Barcelona,Espanyol,2-0,Copa del Rei,Quarts - Tornada,2018-01-25,2,0,Guanya
439,FC Barcelona,Alabès,2-1,La Liga,Jornada 21,2018-01-28,2,1,Guanya
440,FC Barcelona,València,1-0,Copa del Rei,Semifinal - Anada,2018-02-01,1,0,Guanya
441,Espanyol,FC Barcelona,1-1,La Liga,Jornada 22,2018-02-04,1,1,Empata
442,València,FC Barcelona,0-2,Copa del Rei,Semifinal - Tornada,2018-02-08,0,2,Guanya
443,FC Barcelona,Getafe,0-0,La Liga,Jornada 23,2018-02-11,0,0,Empata
444,Eibar,FC Barcelona,0-2,La Liga,Jornada 24,2018-02-17,0,2,Guanya
445,Chelsea,FC Barcelona,1-1,Lliga de Campions,Vuitens - Anada,2018-02-20,1,1,Empata
446,FC Barcelona,Girona,6-1,La Liga,Jornada 25,2018-02-24,6,1,Guanya
447,Las Palmas,FC Barcelona,1-1,La Liga,Jornada 26,2018-03-01,1,1,Empata
448,FC Barcelona,At. Madrid,1-0,La Liga,Jornada 27,2018-03-04,1,0,Guanya
449,FC Barcelona,Espanyol,0-0,Supercopa de Catalunya,Final,2018-03-07,0,0,Empata
450,Màlaga,FC Barcelona,0-2,La Liga,Jornada 28,2018-03-10,0,2,Guanya
451,FC Barcelona,Chelsea,3-0,Lliga de Campions,Vuitens - Tornada,2018-03-14,3,0,Guanya
452,FC Barcelona,Ath. Club,2-0,La Liga,Jornada 29,2018-03-18,2,0,Guanya
453,Sevilla,FC Barcelona,2-2,La Liga,Jornada 30,2018-03-31,2,2,Empata
454,FC Barcelona,Roma,4-1,Lliga de Campions,Quarts - Anada,2018-04-04,4,1,Guanya
455,FC Barcelona,Leganés,3-1,La Liga,Jornada 31,2018-04-07,3,1,Guanya
456,Roma,FC Barcelona,3-0,Lliga de Campions,Quarts - Tornada,2018-04-10,3,0,Perd
457,FC Barcelona,València,2-1,La Liga,Jornada 32,2018-04-14,2,1,Guanya
458,Celta,FC Barcelona,2-2,La Liga,Jornada 33,2018-04-17,2,2,Empata
459,Sevilla,FC Barcelona,0-5,Copa del Rei,Final,2018-04-21,0,5,Guanya
460,Deportivo,FC Barcelona,2-4,La Liga,Jornada 35,2018-04-29,2,4,Guanya
461,FC Barcelona,Reial Madrid,2-2,La Liga,Jornada 36,2018-05-06,2,2,Empata
462,FC Barcelona,Vila-real,5-1,La Liga,Jornada 34,2018-05-09,5,1,Guanya
463,Llevant,FC Barcelona,5-4,La Liga,Jornada 37,2018-05-13,5,4,Perd
464,Mamelodi Sundowns,FC Barcelona,1-3,Amistosos,Jornada 1,2018-05-16,1,3,Guanya
465,FC Barcelona,R. Societat,1-0,La Liga,Jornada 38,2018-05-20,1,0,Guanya
466,FC Barcelona,Tottenham Hotspur,2-2,International Champions Cup,Amistós,2018-07-29,2,2,Empata
467,FC Barcelona,Roma,2-4,International Champions Cup,Jornada 0,2018-08-01,2,4,Perd
468,AC Milan,FC Barcelona,1-0,International Champions Cup,Jornada 0,2018-08-05,1,0,Perd
469,Sevilla,FC Barcelona,1-2,Supercopa d'Espanya,Final,2018-08-12,1,2,Guanya
470,FC Barcelona,Boca Juniors,3-0,Trofeu Joan Gamper,Final,2018-08-15,3,0,Guanya
471,FC Barcelona,Alabès,3-0,La Liga,Jornada 1,2018-08-18,3,0,Guanya
472,R. Valladolid,FC Barcelona,0-1,La Liga,Jornada 2,2018-08-25,0,1,Guanya
473,FC Barcelona,Osca,8-2,La Liga,Jornada 3,2018-09-02,8,2,Guanya
474,R. Societat,FC Barcelona,1-2,La Liga,Jornada 4,2018-09-15,1,2,Guanya
475,FC Barcelona,PSV,4-0,Lliga de Campions,Fase de grups - B,2018-09-18,4,0,Guanya
476,FC Barcelona,Girona,2-2,La Liga,Jornada 5,2018-09-23,2,2,Empata
477,Leganés,FC Barcelona,2-1,La Liga,Jornada 6,2018-09-26,2,1,Perd
478,FC Barcelona,Ath. Club,1-1,La Liga,Jornada 7,2018-09-29,1,1,Empata
479,Tottenham Hotspur,FC Barcelona,2-4,Lliga de Campions,Fase de grups - B,2018-10-03,2,4,Guanya
480,València,FC Barcelona,1-1,La Liga,Jornada 8,2018-10-07,1,1,Empata
481,FC Barcelona,Sevilla,4-2,La Liga,Jornada 9,2018-10-20,4,2,Guanya
482,FC Barcelona,Inter Milan,2-0,Lliga de Campions,Fase de grups - B,2018-10-24,2,0,Guanya
483,FC Barcelona,Reial Madrid,5-1,La Liga,Jornada 10,2018-10-28,5,1,Guanya
484,Cultural L.,FC Barcelona,0-1,Copa del Rei,6a ronda - Anada,2018-10-31,0,1,Guanya
485,Rayo Vallecano,FC Barcelona,2-3,La Liga,Jornada 11,2018-11-03,2,3,Guanya
486,Inter Milan,FC Barcelona,1-1,Lliga de Campions,Fase de grups - B,2018-11-06,1,1,Empata
